OBJECTID;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO
54;446;CENTRO DE EXPRESIÓN CULTURAL FE Y ALEGRIA;KR 1 ESTE 75 26 SUR;7610679 - 2001102;N.D;http://www.feyalegria.org/es;05;USME;UPZ57;GRAN YOMASA;002524;LA ANDREA;N.A;PRIVADO;N.A;N.A
55;160;CORPORACIÓN CENTRO LOCAL DE DESARROLLO INTEGRAL D*;KR 46C 70 59 SUR;7172890;celodije.corporacion@gmail.com;N.D;19;CIUDAD BOLÍVAR;UPZ70;JERUSALEM;002437;LA PRADERA;N.A;PRIVADO;N.A;N.A
56;458;CASONA DE LA DANZA;KR 5 ESTE 17 01;3795750 EXT 345;santiago.murcia@idartes.gov.co;http://www.idartes.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;003103;LAS AGUAS;N.A;PUBLICO;N.A;N.A
57;490;CENTRO DE DESARROLLO COMUNITARIO SAMORÉ;CL 41A 31 46;2048323;jmaldonado@sdis.gov.co;http://www.integracionsocial.gov.co/;18;RAFAEL URIBE URIBE;UPZ39;QUIROGA;002307;INGLES;N.A;PUBLICO;N.A;N.A
58;447;FUNDACIÓN SEMILLITO;CL 87 SUR 17 A 21 ESTE;2820688;fundacionsemillito@gmail.com ;http://semillito.blogspot.com/;05;USME;UPZ52;LA FLORA;001336;JUAN JOSE RONDON I;N.A;PRIVADO;N.A;N.A
59;515;CENTRO DE DESARROLLO COMUNITARIO PABLO DE TARSO;DG 47A 53B 27 SUR;2702261 - 7411011;cdc.pablodetarso.tunjuelito@gmail.com;http://www.integracionsocial.gov.co/;06;TUNJUELITO;UPZ42;VENECIA;002404;VENECIA;N.A;PUBLICO;N.A;N.A
60;516;CENTRO DE DESARROLLO COMUNITARIO KENNEDY;AC 43 SUR 80 B 33;2658252;sandra.benav@hotmail.com;http://www.integracionsocial.gov.co/;08;KENNEDY;UPZ81;GRAN BRITALIA;004525;PASTRANA;N.A;PUBLICO;N.A;N.A
61;517;CENTRO DE DESARROLLO COMUNITARIO LAGO TIMIZA;KR 74 42G 52 SUR;4542329;cmedellin@sdis.gov.co;http://www.integracionsocial.gov.co/;08;KENNEDY;UPZ48;TIMIZA;004518;TIMIZA A;N.A;PUBLICO;N.A;N.A
62;519;CENTRO DE DESAROLLO COMUNITARIO EL PORVENIR;KR 100 52 24 SUR;7383883;magudelo@esdis.gov.co;http://www.integracionsocial.gov.co/;07;BOSA;UPZ86;EL PORVENIR;004630;PARCELA EL PORVENIR;N.A;PUBLICO;N.A;N.A
63;520;CENTRO DE DESARROLLO COMUNITARIO ARBORIZADORA ALTA;CL 70 SUR 34 05;7172740 EXT 107;fundadoronline@gmail.com;http://www.integracionsocial.gov.co/;19;CIUDAD BOLÍVAR;UPZ70;JERUSALEM;002573;ARBORIZADORA ALTA;N.A;PUBLICO;N.A;N.A
64;521;CENTRO DE DESARROLLO COMUNITARIO COLINAS;KR 15C 31G 40 SUR;3611410 - 3665335;gmorenoss@hotmail.com;http://www.integracionsocial.gov.co/;18;RAFAEL URIBE URIBE;UPZ36;SAN JOSE;001402;GUSTAVO RESTREPO;N.A;PUBLICO;N.A;N.A
1;3;CENTRO CULTURAL NARIÑO 2;KR 24G 20 60 SUR;3661085;museo40@hotmail.com;N.D;15;ANTONIO NARIÑO;UPZ38;RESTREPO;002104;RESTREPO OCCIDENTAL;N.A;PRIVADO;N.A;N.A
2;11;CASA NACIONAL DE LA CULTURA AFROCOLOMBIANA (CASAF*;CL 73 20A 60;8003436 - 2554057;cas.afro@hotmail.es;N.D;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;007403;SAN FELIPE;N.A;PRIVADO;N.A;N.A
3;25;FUNDACIÓN CULTURAL CHIMINIGAGUA;KR 80K 72 45 SUR;7803879;coddiarcupop@gmail.com;N.D;07;BOSA;UPZ85;BOSA CENTRAL;004533;EL RETAZO;N.A;PRIVADO;N.A;N.A
4;35;FUNDACIÓN GILBERTO ALZATE AVENDAÑO;CL 10 3 16;3431223 - 2864610;amejia@mincultura.gov.co;N.D;17;CANDELARIA;UPZ94;LA CANDELARIA;003106;CENTRO ADMINISTRATIVO;N.A;PUBLICO;N.A;N.A
5;32;FUNDACIÓN CASA DE POESÍA  SILVA;CL 12C 3 41;2865710;casadepoesiasilva@casadepoesiasilva.com;http://casadepoesiasilva.com/;17;CANDELARIA;UPZ94;LA CANDELARIA;003110;LA CATEDRAL;N.A;PUBLICO;N.A;N.A
6;33;CENTRO CULTURAL GABRIEL GARCÍA MÁRQUEZ;CL 11 5 60;2832200;coordiandorsulturalyacademico@fce.com.co;http://www.fce.com.co/CCGGM;17;CANDELARIA;UPZ94;LA CANDELARIA;003110;LA CATEDRAL;N.A;PRIVADO;N.A;N.A
7;36;FUNDACIÓN RAFAEL POMBO;CL 10 5 22;3420836 - 5625696;N.D;http://www.fundacionrafaelpombo.org/;17;CANDELARIA;UPZ94;LA CANDELARIA;003106;CENTRO ADMINISTRATIVO;N.A;PRIVADO;N.A;N.A
8;37;INSTITUTO CULTURAL LEÓN TOLSTOI;CL 12C 3 86;4801226 - 2823427;icleontolstoi@gmail.com - icleontolstoi@yahoo.com;http://www.institutoleontolstoi.com.co/;17;CANDELARIA;UPZ94;LA CANDELARIA;003110;LA CATEDRAL;N.A;PRIVADO;N.A;N.A
9;84;CENTRO CULTURAL GABRIEL MEJÍA BETANCUR;CL 73 14 53;2124087 - 2124047;ypava@pedagógica.edu.co;http://www.pedagogica.mineducacion.org/;02;CHAPINERO;UPZ97;CHICO LAGO;008306;PORCIUNCULA;N.A;PUBLICO;N.A;N.A
10;81;ACADEMIA LUIS A CALVO;KR 9 52 52;3238400;planeac@udistrital.edu.co;http://www.udistrital.edu.co/;02;CHAPINERO;UPZ99;CHAPINERO;008212;MARLY;N.A;PUBLICO;N.A;N.A
11;82;ALIANZA COLOMBO FRANCESA SEDE CHICÓ;AK 11 93 40;3793370;l.galli@alianzafrancesa.org.co;http://www.alianzafrancesa.org.co/web/ciudad/bogota/inicio/principal;02;CHAPINERO;UPZ88;EL REFUGIO;008307;CHICO NORTE;N.A;PRIVADO;N.A;N.A
12;85;CENTRO CULTURAL MAGITINTO;KR 6 117 12;N.D;N.D;N.D;02;CHAPINERO;UPZ97;CHICO LAGO;008201;QUINTA CAMACHO;N.A;PRIVADO;N.A;N.A
13;87;CORPORACIÓN INSTITUTO DE CULTURA BRASIL COLOMBIA;KR 9 70A 11;2115511;informacion@ibraco.org.co;http://www.ibraco.org.co/;02;CHAPINERO;UPZ97;CHICO LAGO;008201;QUINTA CAMACHO;N.A;PRIVADO;N.A;N.A
