amenity,name,cuisine,longitude,latitude
restaurant,Billar,N/A,-74.1533,4.6007
bar,nectar,N/A,-74.1381,4.5831
bar,Estrella,N/A,-74.1302,4.6332
bar,El Chou,N/A,-74.1292,4.6329
bar,El Pino,N/A,-74.0989,4.5577
bar,103A03,N/A,-74.1482,4.6735
bar,LA CANTINA,N/A,-74.1481,4.6733
bar,N/A,N/A,-74.1009,4.7067
bar,Video Bar Mi Caliche,N/A,-74.1045,4.604
bar,Hollywood,N/A,-74.0712,4.7127
bar,sabana bar,N/A,-74.0651,4.6328
bar,terrasa de san esteban,N/A,-74.065,4.6321
bar,N/A,N/A,-74.1427,4.6212
bar,N/A,N/A,-74.0889,4.7347
bar,N/A,N/A,-74.0831,4.5642
bar,N/A,N/A,-74.0834,4.5648
bar,Colombia Club,N/A,-74.064,4.6376
bar,Saloon,N/A,-74.0641,4.6377
bar,Bar Indigo,N/A,-74.0639,4.6381
bar,N/A,N/A,-74.0641,4.6347
bar,Pub House,N/A,-74.0635,4.6379
bar,Casa Babylon,N/A,-74.0641,4.636
bar,Delfines paisa,N/A,-74.1444,4.6063
bar,Manantial,N/A,-74.1439,4.6054
bar,Cigarrera La camila,N/A,-74.1065,4.6829
bar,La licorera,N/A,-74.1067,4.6826
bar,Mono Fonica,N/A,-74.1067,4.6825
bar,cafe bar,N/A,-74.0683,4.6358
bar,N/A,N/A,-74.0662,4.6372
bar,N/A,N/A,-74.0471,4.6768
bar,Dublin Irish Pub,N/A,-74.0694,4.6893
bar,Bar y Billar Barbilla Poker,N/A,-74.0257,4.7042
bar,N/A,N/A,-74.0667,4.7226
bar,San Martin Bar,N/A,-74.1244,4.5984
bar,Bar Rock,N/A,-74.1242,4.5993
bar,Estanco 45,N/A,-74.0698,4.6327
bar,N/A,N/A,-74.1389,4.6084
bar,Karaoke Bar,N/A,-74.0812,4.6847
bar,Son Lucas,N/A,-74.0811,4.6848
bar,El Macho Cantina,N/A,-74.0544,4.6687
bar,Shots Bar,N/A,-74.055,4.669
bar,La Corona,N/A,-74.0782,4.6712
bar,Viva Libre,N/A,-74.1051,4.6693
bar,Los Diablitos,N/A,-74.0558,4.7162
bar,El Bar de Marce,N/A,-74.105,4.7064
bar,Mr. Beer,N/A,-74.0299,4.7647
bar,Ozzy,N/A,-74.1018,4.6785
bar,N/A,N/A,-74.0885,4.7337
bar,WINE LOVERS,N/A,-74.0322,4.7029
bar,N/A,N/A,-74.1178,4.6952
bar,Bar La Cabaña,N/A,-74.1316,4.7044
bar,Bar Los Recuerdos de Ella,N/A,-74.1178,4.6945
bar,Galeria bar,N/A,-74.0685,4.6038
bar,N/A,N/A,-74.1119,4.5939
bar,SUG,N/A,-74.0907,4.6055
