OBJECTID;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECESTADO;LECCLASIF;LECCODSEC;LECNOMSEC;LECCONTACTO;LECANIO;LECCODSIMCO
44;50;Museo Escuela Militar de Cadetes General José Maria Córdova;Calle 80 No 38 - 00;3770850;museo.patrimonial@esmic.edu.co;http://www.esmic.edu.co;12;BARRIOS UNIDOS;UPZ21;LOS ANDES;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
45;51;Museo geológico José Royo y Gómez;Dg 53 N° 34 - 53;2200180 ext 3052;mgomezp@sgc.gov.co;www.sgc.gov.co;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Inactivo;Privada;N.A;N.A;N.A;N.A;11001-53
46;52;Museo geológico nacional José Royo y Gómez;Dg. 53 No. 34-53 Museo geológico nacional José Ro*;2200200 3115439242;museo@sgc.gov.co;www.sgc.gov.co;13;TEUSAQUILLO;UPZ104;PARQUE SIMON BOLIVAR - CAN;Activo;Publica;N.A;N.A;N.A;N.A;11001-53
47;54;Museo histórico de la Policía Nacional;CALLE 9 N°9-27;5159677;dinae.mupon@policia.gov.co;https://www.policia.gov.co/historia/museo;17;CANDELARIA;UPZ94;LA CANDELARIA;PreRegistro;Privada;N.A;N.A;N.A;N.A;No asignado
48;55;Fundación Mariano Ospina Pérez;Av. Cra 24 # 39-32;2878611;fundmop@gmal.com;N.A;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;Activo;Privada;N.A;N.A;N.A;N.A;11001-54
49;56;Museo Internacional de la Esmeralda;Calle 16 No. 6 - 66;2864268 - 2864259 3142463294;diadministrativo@museodelaesmeralda.com.co;http://www.museodelaesmeralda.com.co;03;SANTA FE;UPZ93;LAS NIEVES;Activo;Privada;N.A;N.A;N.A;N.A;11001-37
50;58;Museo itinerante Prorecreando Ciencia;calle 63 sur # 64 90 1437;4645456 3115997577;procienciaparatodos@gmail.com;N.A;19;CIUDAD BOLIVAR;UPZ65;ARBORIZADORA;Activo;Privada;N.A;N.A;N.A;N.A;11001-66
51;59;Museo Literario de Cundinamarca;Calle 10 No. 4 - 69;342 21 21 - 284 12 84;museoliterario@caroycuervo.gov.co;www.caroycuervo.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;PreActivo;Publica;N.A;N.A;N.A;N.A;11001-21
52;60;Museo Mercedes Sierra de Pérez El Chicó;Carrera 7 No. 93 - 01;6231066;lauralizcano@museodelchico.com;www.museodelchico.com;02;CHAPINERO;UPZ88;EL REFUGIO;Activo;NoConstit*;N.A;N.A;N.A;N.A;11001-34
53;61;Museo Militar de Colombia;Calle 10 No. 4 - 92;281 2548;museomilitar@cgfm.mil.co;museo-militar.webnode.com.co;17;CANDELARIA;UPZ94;LA CANDELARIA;Activo;Privada;N.A;N.A;N.A;N.A;11001-62
