DEPARTAMENTO;PASAJEROS
ANTIOQUIA;3531668
ATLÁNTICO;896922
BOGOTÁ, D. C.;7304372
BOLÍVAR;1910092
BOYACÁ;0
CALDAS;58237
CAQUETÁ;48317
CAUCA;57969
CESAR;148682
CÓRDOBA;533145
CHOCÓ;145043
HUILA;80480
LA GUAJIRA;94654
MAGDALENA;1258560
META;34620
NARIÑO;209160
NORTE DE SANTANDER;453986
QUINDÍO;132106
RISARALDA;687489
SANTANDER;608299
SUCRE;28292
TOLIMA;24782
VALLE DEL CAUCA;2101322
ARAUCA;83970
CASANARE;82854
PUTUMAYO;60299
ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA;1199058
AMAZONAS;71102
GUAINÍA;21597
GUAVIARE;7835
VAUPÉS;11957
VICHADA;17058
Sin especificar la ciudad en Tolima;0
Sin Especificar;0
