OBJECTID_1;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO
25;25;Floresta;KR 68  90 - 88;N.A;N.A;N.A;12;BARRIOS UNIDOS;N.A;N.A;N.A;N.A;N.A;Cinemark;N.A;N.A
26;26;Multiplaza;CL 19 A  73 - 45;N.A;N.A;N.A;09;FONTIBON;N.A;N.A;N.A;N.A;N.A;Cinemark;N.A;N.A
27;27;Plaza Imperial;CL 146  106 - 20;N.A;N.A;N.A;11;SUBA;N.A;N.A;N.A;N.A;N.A;Cinemark;N.A;N.A
28;28;Trebolis El Porvenir;KR 95  49 C - 80;N.A;N.A;N.A;07;BOSA;N.A;N.A;N.A;N.A;N.A;Cinemark;N.A;N.A
29;29;Americas;TV 71 D  6 - 94;N.A;N.A;N.A;08;KENNEDY;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
30;30;Bulevar;KR 58  127 - 59;N.A;N.A;N.A;11;SUBA;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
31;31;Centro Suba;CL 140  91 - 19;N.A;N.A;N.A;11;SUBA;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
32;32;Diver Plaza Alamos;TV 96  70 A - 85;N.A;N.A;N.A;10;ENGATIVA;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
33;714;Palatino;KR 7 A  139 - 07;N.A;N.A;N.A;01;USAQUEN;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
34;34;Portal de la Sabana;DG 16  104 - 51;N.A;N.A;N.A;09;FONTIBON;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
35;35;Salitre Plaza;KR 68 B  40 - 39;N.A;N.A;N.A;09;FONTIBON;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
36;36;Tintal Plaza;TV 86  6 - 37;N.A;N.A;N.A;08;KENNEDY;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
37;37;Tunal;CL 47 B  24 B - 33 Sur;N.A;N.A;N.A;06;TUNJUELITO;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
38;38;Bima;Autopista norte  232 - 35;N.A;N.A;N.A;11;SUBA;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
39;39;Unicentro Occidente;KR 111 C  86 - 74;N.A;N.A;N.A;10;ENGATIVA;N.A;N.A;N.A;N.A;N.A;Procinal;N.A;N.A
40;40;Calima;KR 30  19 - 30;N.A;N.A;N.A;14;LOS MARTIRES;N.A;N.A;N.A;N.A;N.A;Cinepolis;N.A;N.A
41;41;Cinepolis Hayuelos;CL 20  85 - 52;N.A;N.A;N.A;09;FONTIBON;N.A;N.A;N.A;N.A;N.A;Cinepolis;N.A;N.A
42;42;VIP Plaza Claro;DG 24 C  68 - 1;N.A;N.A;N.A;09;FONTIBON;N.A;N.A;N.A;N.A;N.A;Cinepolis;N.A;N.A
