OBJECTID;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO;LECEMAIL
18;130;SALÓN ALBERTO GALUPE;KR 15 93A 10;5941000 - 6109988;N.D;02;CHAPINERO;UPZ97;CHICO LAGO;008307;CHICO NORTE;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;N.D
19;131;SEXTANTE GALERÍA;KR 14 75 29;2494755;http://www.artedos.com/;02;CHAPINERO;UPZ97;CHICO LAGO;008306;PORCIUNCULA;N.A;GALERÍAS;N.A;N.A;N.D
20;188;ARTE CAMARA SALITRE;AC 26 68 D 35 PISO 2;3830300 EXT 2503;http://www.ccb.org.co/Cree-su-empresa/Sectores-es*;09;FONTIBÓN;UPZ110;CIUDAD SALITRE OCCI*;006313;SALITRE OCCIDENTAL;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;agendacultural@ccb.org.co
21;213;ARTE CÁMARA KENNEDY;AK 68 30 15 SUR;3830300 EXT 2626;http://www.ccb.org.co/Cree-su-empresa/Sectores-es*;08;KENNEDY;UPZ45;CARVAJAL;004542;ALQUERIA LA FRAGUA NORTE;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;agendacultural@ccb.org.co
22;309;ALONSO GARCÉS GALERÍA;KR 5 26B 92;3375832;N.D;03;SANTA FE;UPZ92;LA MACARENA;008105;LA MACARENA;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;agarces@cable.net.com
23;310;CALLEJÓN DE EXPOSICIONES DEL TEATRO JORGE ELIÉCER*;KR 7 22 47;3795750;http://www.idartes.gov.co;03;SANTA FE;UPZ93;LAS NIEVES;003102;LAS NIEVES;N.A;GALERÍAS;N.A;N.A;guillermorios@idartes.gov.co
24;380;ACAPULCO GALERÍA ARTE;KR 20 51 51;2481922;http://www.acapulcoarte.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;007209;ALFONSO LOPEZ;N.A;GALERÍAS;N.A;N.A;hlopez@acapulcoarte.com
25;381;GALERIA DALIM;KR 17 57 56;2118639;N.D;13;TEUSAQUILLO;UPZ100;GALERIAS;007203;CHAPINERO OCCIDENTAL;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;N.D
26;382;GALERÍA PICASSO;AK 24 53 76;2117323;N.D;13;TEUSAQUILLO;UPZ100;GALERIAS;007207;GALERIAS;N.A;GALERÍAS;N.A;N.A;galeriapicasso@hotmail.com
27;435;GALERÍA DEL NORTE;CL 109A 17 10;2755052;N.D;01;USAQUÉN;UPZ16;SANTA BARBARA;008418;SAN PATRICIO;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;N.D
28;466;MIAMI - ESPACIO DE ARTE CONTEMPORÁNEO;KR 17 36 61;8120295;N.D;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;007104;TEUSAQUILLO;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;info@m-i-a-m-i.net
29;465;LABORATORIO INTERDISCIPLINARIO PARA LAS ARTES LIA;CL 12B 2 71;2843913;http://www.lialab.com/;17;CANDELARIA;UPZ94;LA CANDELARIA;003104;LA CONCORDIA;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;lialaboratorio@gmai.com
30;0;GALERÍA SANTA FE;KR 1A entre CL12C y 12D;3795750 Ext: 3300;http://galeriasantafe.gov.co;17;CANDELARIA;UPZ94;LA CANDELARIA;003104;LA CONCORDIA;N.A;GALERÍAS;N.A;N.A;contactenos@idartes.gov.co
1;9;CENTRO DE NEGOCIOS Y EXPOSICIONES PLAZA DE LOS AR*;TV 48 63A 52;4379444;http://www.desarrolloeconomico.gov.co/;12;BARRIOS UNIDOS;UPZ103;PARQUE SALITRE;005112;PARQUE DISTRITAL SALITRE;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;N.D
2;15;GALERÍA MELAKÁ;CL 63B 20 17;5410551;http://www.artegaleriamelaka.com/;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;007306;BAQUERO;N.A;GALERÍAS;N.A;N.A;galeriamelaka@gmail.com
3;129;ARTE CÁMARA CHAPINERO;CL 67 8 32;3860300 EXT 2626;http://www.ccb.org.co/Cree-su-empresa/Sectores-es*;02;CHAPINERO;UPZ97;CHICO LAGO;008201;QUINTA CAMACHO;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;coordinacionartecamara@ccb.org.co
4;113;GALERÍA DE ARTE AMPARO SIERRA;KR 9 60 60;2551403;N.D;02;CHAPINERO;UPZ99;CHAPINERO;008213;CHAPINERO CENTRAL;N.A;GALERÍAS;N.A;N.A;amparosierra_2@hotmail.com
5;110;CERO GALERIA;CL 80 12 55;2177698;http://cerogaleria.com/;02;CHAPINERO;UPZ97;CHICO LAGO;008312;ESPARTILLAL;N.A;GALERÍAS;N.A;N.A;info@cerogaleria.com
6;114;GALERIA CAFÉ DAVRIL;KR 6 58 49;2496304;N.D;02;CHAPINERO;UPZ90;PARDO RUBIO;008207;BOSQUE CALDERON;N.A;GALERÍAS;N.A;N.A;agarridoshotmail.com
7;115;GALERÍA CASA CUADRADA;KR 7 83 20;2576547;http://www.casacuadrada.com/;02;CHAPINERO;UPZ88;EL REFUGIO;008304;LOS ROSALES;N.A;GALERÍAS;N.A;N.A;info@casacuadrada.com
8;116;GALERÍA CASA NEGRET BUITRAGO;DG 108A 8 57;2145721;N.D;01;USAQUÉN;UPZ14;USAQUEN;008414;SANTA ANA OCCIDENTAL;N.A;GALERÍAS;N.A;N.A;galeriacasanegretbuitrago@hotmail.com
9;117;GALERIAS CASAS RIEGNER;CL 70A 7 41;2499194;http://www.casasriegner.com/;02;CHAPINERO;UPZ97;CHICO LAGO;008201;QUINTA CAMACHO;N.A;GALERÍAS;N.A;N.A;info@casasriegner.com
10;118;GALERÍA CUARTO NIVEL;CL 93B 11A 44 OFICINA 402;6355153;N.D;02;CHAPINERO;UPZ97;CHICO LAGO;008307;CHICO NORTE;N.A;GALERÍAS;N.A;N.A;carmenzabonilla@gmail.com
11;119;GALERÍA DE ARTE CENTRO CULTURAL SANTA CRUZ;KR 19C 88 12;N.D;N.D;02;CHAPINERO;UPZ97;CHICO LAGO;008308;EL CHICO;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;N.D
12;120;GALERÍA DE ARTE CALLEJÓN;CL 94 13 90;2569534;N.D;02;CHAPINERO;UPZ97;CHICO LAGO;008307;CHICO NORTE;N.A;GALERÍAS;N.A;N.A;libreriacentralungaruno@hotmail.com
13;121;GALERÍA EL MUSEO;CL 81 11 41;7447588 - 7447589;http://www.galeriaelmuseo.com/;02;CHAPINERO;UPZ97;CHICO LAGO;008312;ESPARTILLAL;N.A;GALERÍAS;N.A;N.A;info@galeriaelmuseo.com
14;122;GALERÍA ESPACIO ALTERNO;CL 92 16 11;6162211 EXT 135;http://www.uniandinos.org.co/;02;CHAPINERO;UPZ97;CHICO LAGO;008308;EL CHICO;N.A;GALERÍAS;N.A;N.A;labaunza@uniandinos.org.co
15;124;GALERÍA LA COMETA;KR 10 94A 25;6019494;http://www.galerialacometa.com/es/;02;CHAPINERO;UPZ88;EL REFUGIO;008307;CHICO NORTE;N.A;GALERÍAS;N.A;N.A;info@galerialacometa.com
16;125;LA PARED GALERÍA;KR 13 93 40 OFICINA 311;2185382;http://www.laparedgaleria.com/;02;CHAPINERO;UPZ97;CHICO LAGO;008307;CHICO NORTE;N.A;GALERÍAS;N.A;N.A;laparedgaleria@yaho.com.mx
17;128;SALA DE ESPERA;CL 70A 10 68;N.D;N.D;02;CHAPINERO;UPZ97;CHICO LAGO;008201;QUINTA CAMACHO;N.A;SALAS DE EXPOSICIÓN;N.A;N.A;N.D
