OBJECTID_1;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO
49;167;TEATRO LUIS ENRIQUE OSORIO;AC 13 KR 8 SÓTANOS;3413449;planeac@udistrital.edu.co;http://www.udistrital.edu.co/;17;CANDELARIA;UPZ94;LA CANDELARIA;3110;LA CATEDRAL;N.A;TEATRO;N.A;N.A
50;168;TEATRO METROPOL;CL 24 6 31;N.D;gerencia@teatrometropol.co;http://www.teatrometropol.co/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
51;169;TEATRO EL DORADO ECCI;CL 17 4 64;2834454;teatroeldoradoecci@gmail.com;N.D;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
52;170;TEATRO LA MACARENA;CL 26A 4A 17;8054465;teatrolamacarena@funambulos.net - info@losfunambulos.net;http://www.website.losfunambulos.net/;3;SANTA FE;UPZ92;LA MACARENA;8107;SAN DIEGO;N.A;TEATRO;N.A;N.A
53;171;TEATRO DE BOGOTÁ;CL 22 5 62;3340293;bgiralb@ucentral.edu.co;http://www.ucentral.edu.co/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
54;172;TEATRO FAENZA;CL 22 5 66;3340293;bgiralb@ucentral.edu.co;http://www.ucentral.edu.co/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
55;173;TEATRO METRO;CL 34 13 28;2456676;N.D;N.D;3;SANTA FE;UPZ91;SAGRADO CORAZON;8101;SAGRADO CORAZON;N.A;TEATRO;N.A;N.A
56;174;CASA TEATROVA;CL 24 4A 16;3362401;casateatrova@yahoo.com;http://www.teatrova.org.co/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
57;175;MAPA TEATRO;KR 7 23 08;2844899;info@mapateatro.org;http://www.mapateatro.org/;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
58;176;TEATRO EL PARQUE;KR 5 36 05;3400468;N.D;N.D;3;SANTA FE;UPZ91;SAGRADO CORAZON;8102;PARQUE NACIONAL;N.A;TEATRO;N.A;N.A
59;177;TEATRO JORGE ELIECER GAÍTAN;KR 7 22 47;3343451;jose.rios@idartes.gov.co;http:/www.teatrojorgeeliecer.gov.co;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
60;178;TEATRO MAYOR JULIO MARIO SANTO DOMINGO;AC 170 67 51;3779820;N.D;http://www.teatromayor.org/;11;SUBA;UPZ18;BRITALIA;9134;SAN JOSE V SECTOR;N.A;TEATRO;N.A;N.A
61;179;TEATRO COLSUBSIDIO ROBERTO ARIAS PEREZ;AC 26 25 40;3432670 - 3432672;edwin.roa@colsubsidio.com;http://www.colsubsidio.com/index.php?option=com_content&view=article&id=1&Itemid=103;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7106;ESTRELLA;N.A;TEATRO;N.A;N.A
62;180;TEATRO DITIRAMBO SEDE PALERMO;CL 45A 14 37;2326440;teatro.ditirambo@gmail.com;http://teatroditirambo.org/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7205;PALERMO;N.A;TEATRO;N.A;N.A
63;181;FUNDACIÓN JAIME MANZUR PARA EL DESARROLLO DE LAS ARTES ESCÉNICAS;CL 61A 14 58;2496283 - 2359949;info@fundacionjaimemanzur.com.co;http://www.fundacionjaimemanzur.com.co/;13;TEUSAQUILLO;UPZ100;GALERIAS;7203;CHAPINERO OCCIDENTAL;N.A;TEATRO;N.A;N.A
64;182;TEATRO SANTAFE;AC 57 17 13;2121091;N.D;http://www.teatrosantafe.com/;13;TEUSAQUILLO;UPZ100;GALERIAS;7208;BANCO CENTRAL;N.A;TEATRO;N.A;N.A
65;183;LA CASA DEL TEATRO NACIONAL;KR 20 37 54;3201448;directoracasa@tearonacionall.com.co;http://teatronacional.co/index.php;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
1;119;AUDITORIO PAULO FREIRE;CL 72 11 86;5941894 EXT 470;upn@pedagogica.edu.co;http://www.pedagogica.mineducacion.org/;2;CHAPINERO;UPZ97;CHICO LAGO;8306;PORCIUNCULA;N.A;AUDITORIO;N.A;N.A
